tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,4,0.0,0.0,3,0,"[100, 0, 0]","[26.36132156454566, 37.79061536346104, 35.8480630719933]","[63.18065563622919, 18.895309233409606, 17.924035130361197]",-1.97142857,1.0,0.2636132156454566,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.77084719799114, 38.744111626660626, 42.48504117534823]","[0, 0, 0]",-0.25714286,1.0,0.18770847197991142,1,-1
179,1,0,0,1,-1,"[0, 0, 0]","[23.23324342226928, 31.848107114925966, 44.91864946280476]","[0, 0, 0]",-0.25714286,1.0,0.23233243422269279,1,-1
180,1,0,0,1,-1,"[0, 0, 0]","[32.894742605549425, 32.18680511141987, 34.91845228303071]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,4,0.0,0.0,5,0,"[100, 0, 0]","[31.066697031687752, 28.219570031497316, 40.71373293681492]","[65.53336314160306, 14.10978258361652, 20.35685427478042]",-2.05714286,1.0,0.3106669703168775,1,-1
96,4,0.0,0.0,7,0,"[100, 0, 0]","[38.11987961241357, 33.94353018852937, 27.93659019905706]","[69.05953859698762, 16.97186072536658, 13.968600677645796]",-2.14285714,1.0,0.3811987961241357,1,-1
97,4,0.0,0.0,7,0,"[100, 0, 0]","[12.049355719337814, 19.16352455550273, 68.78711972515946]","[56.02508409732011, 9.580944200645845, 34.39397170203405]",-2.05714286,1.0,0.12049355719337815,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948698298, 30.33412597087543, 27.731234542141586]","[0, 0, 0]",-1.11428571,1.0,0.41934639486982983,1,-1
177,1,0,0,1,-1,"[0, 0, 0]","[25.162089050549223, 33.81259941196632, 41.02531153748446]","[0, 0, 0]",-0.34285714,1.0,0.25162089050549225,1,-1
31,4,0.0,0.0,11,0,"[100, 0, 0]","[39.964510547945245, 27.99860674852168, 32.03688270353307]","[69.98288016715654, 13.998542263704039, 16.018577569139428]",-2.14285714,1.0,0.3996451054794525,1,-1
95,4,0.0,0.0,17,0,"[100, 0, 0]","[24.208896933434325, 28.329226662403144, 47.46187640416253]","[62.14016475792869, 14.180105877919043, 23.679729364152266]",-2.22857143,1.0,0.24208896933434323,1,-1
101,4,0.0,0.0,8,0,"[100, 0, 0]","[26.141265204693166, 35.196604926252505, 38.66212986905433]","[63.08832513971737, 17.602782557726503, 19.308892302556128]",-2.31428571,1.0,0.26141265204693165,1,-1
168,1,0,0,1,-1,"[0, 0, 0]","[32.31044923795167, 30.03774994135992, 37.65180082068841]","[0, 0, 0]",-1.2,1.0,0.3231044923795167,1,-1
175,1,0,0,1,-1,"[0, 0, 0]","[27.130012831130575, 30.740586322255204, 42.12940084661423]","[0, 0, 0]",-0.42857143,1.0,0.27130012831130573,1,-1
176,1,0,0,1,-1,"[0, 0, 0]","[26.89462117622986, 28.037731151334818, 45.06764767243533]","[0, 0, 0]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,-1,"[0, 0, 0]","[49.77561227021548, 24.994539128848082, 25.22984860093645]","[0, 0, 0]",0.42857143,1.0,0.4977561227021548,1,-1
190,1,0,0,1,-1,"[0, 0, 0]","[31.028480654109615, 33.94130138376596, 35.030217962124425]","[0, 0, 0]",1.2,1.0,0.31028480654109614,1,-1
195,1,0,0,1,-1,"[0, 0, 0]","[39.66258294075975, 30.34440333401992, 29.99301372522033]","[0, 0, 0]",1.8,1.0,0.3966258294075975,1,-1
209,1,0,0,1,-1,"[0, 0, 0]","[35.35539693093703, 39.98033834420075, 24.66426472486221]","[0, 0, 0]",3.0,1.0,0.35355396930937033,1,-1
30,4,0.0,0.0,37,0,"[100, 0, 0]","[36.453747873175715, 31.475574651530607, 32.07067747529367]","[68.22687393658785, 15.737787325765304, 16.035338737646835]",-2.4,1.0,0.3645374787317571,1,-1
44,4,0.0,0.0,2,0,"[100, 0, 0]","[18.776502157098488, 31.044510817849464, 50.178987025052045]","[59.38824988629686, 15.522257664128123, 25.089492449575012]",1.71428571,1.0,0.18776502157098487,1,-1
46,4,0.0,0.0,2,0,"[100, 0, 0]","[18.65314632241283, 34.58994584546891, 46.75690783211825]","[59.32657592695888, 17.294971544906247, 23.378452528134876]",1.71428571,1.0,0.1865314632241283,1,-1
47,4,0.0,0.0,2,0,"[100, 0, 0]","[19.73397687731761, 39.33508210825712, 40.93094101442526]","[59.866985163321004, 19.667543879371337, 20.46547095730766]",1.71428571,1.0,0.19733976877317608,1,-1
48,4,0.0,0.0,2,0,"[100, 0, 0]","[20.907462179179568, 44.07684017141801, 35.01569764940242]","[60.45373025556958, 22.03842318799108, 17.50784655643934]",1.71428571,1.0,0.20907462179179567,1,-1
49,4,0.0,0.0,2,0,"[100, 0, 0]","[29.810196667616403, 39.37650510644099, 30.813298225942603]","[64.90509601841438, 19.68825235579714, 15.406651625788474]",1.71428571,1.0,0.298101966676164,1,-1
50,4,0.0,0.0,2,0,"[100, 0, 0]","[24.069094791975715, 25.88066579016234, 50.05023941786194]","[62.034549377577775, 12.940330258875349, 25.025120363546876]",1.71428571,1.0,0.24069094791975715,1,-1
77,1,0,0,1,-1,"[0, 0, 0]","[36.238375184274965, 28.881811896689662, 34.87981291903537]","[0, 0, 0]",0.34285714,1.0,0.3623837518427496,1,-1
164,1,0,0,1,-1,"[0, 0, 0]","[15.094244101005563, 30.083500651167373, 54.82225524782706]","[0, 0, 0]",-1.37142857,1.0,0.15094244101005563,1,-1
165,1,0,0,1,-1,"[0, 0, 0]","[35.33516788988382, 30.823201581397363, 33.841630528718824]","[0, 0, 0]",-1.28571429,1.0,0.35335167889883823,1,-1
166,1,0,0,1,-1,"[0, 0, 0]","[42.23885759784608, 19.927714542663644, 37.83342785949028]","[0, 0, 0]",-1.37142857,1.0,0.4223885759784608,1,-1
167,1,0,0,1,-1,"[0, 0, 0]","[39.88730866505269, 25.3077776824149, 34.804913652532406]","[0, 0, 0]",-1.28571429,1.0,0.39887308665052695,1,-1
174,1,0,0,1,-1,"[0, 0, 0]","[17.939356905854567, 30.845580825002195, 51.21506226914324]","[0, 0, 0]",-0.51428571,1.0,0.17939356905854567,1,-1
188,1,0,0,1,-1,"[0, 0, 0]","[31.692321106535378, 34.12082494769493, 34.18685394576969]","[0, 0, 0]",1.02857143,1.0,0.31692321106535376,1,-1
189,1,0,0,1,-1,"[0, 0, 0]","[23.40175492362878, 31.637704493918488, 44.96054058245273]","[0, 0, 0]",1.11428571,1.0,0.2340175492362878,1,-1
